Item Number,List Price,Cost Column 1 Price,Item Weight,UPS Indicator
RCP1867531EA,82.46,40.04,7.500,Y
RCP1867532CT,160.70,66.74,12.330,Y
RCP1867533CT,601.52,249.83,10.998,Y
RCP1867534CT,241.28,131.04,13.100,Y
RCP1867537,1231.57,511.50,51.000,N
RCP1867539,1642.10,589.42,1.000,N
RCP1868991,120.06,42.90,1.000,Y
RCP1878364,168.21,60.38,9.830,Y
RCP1878366CT,642.26,260.70,7.940,Y
RCP1878367,161.73,58.05,5.800,Y
RCP1878368,14.20,5.10,0.600,Y
RCP1878370,65.22,23.41,1.200,Y
RCP1880994,49.91,17.91,1.000,Y
RCP1881749,277.83,99.72,20.600,Y
RCP1881750,333.40,118.19,27.000,Y
RCP1881781,388.99,139.66,28.600,Y
RCP1881782,74.09,26.59,1.700,Y
RCP1881783,92.62,33.26,2.550,Y
RCP1883456,220.57,94.87,7.900,Y
RCP1883457,264.86,113.92,13.300,Y
RCP1883458,257.61,110.80,10.900,Y
RCP1883459,304.67,79.00,18.800,Y
RCP1883460,293.01,126.03,14.300,Y
RCP1883551,340.85,146.60,20.800,Y
RCP1883552,419.28,149.79,16.700,Y
RCP1883553,486.36,209.19,25.300,Y
RCP1883554,218.89,94.15,6.100,Y
RCP1883555,220.57,94.87,7.900,Y
RCP1883556,264.86,113.92,13.300,Y
RCP1883557,257.61,110.80,10.900,Y
RCP1883558,304.67,131.04,18.800,Y
RCP1883559,293.01,126.03,10.900,Y
RCP1883560,340.85,146.60,20.800,Y
RCP1883561,419.28,180.33,16.700,N
RCP1883562,486.36,130.00,25.300,Y
RCP1883563,183.37,78.87,6.100,N
RCP1883564,220.57,94.87,7.900,Y
RCP1883565,264.86,113.92,13.300,Y
RCP1883566,257.61,110.80,11.800,Y
RCP1883567,304.67,131.04,18.380,N
RCP1883568,293.01,126.03,14.300,Y
RCP1883569,340.85,146.60,20.800,Y
RCP1883571,486.36,209.19,25.300,Y
RCP1883573,220.57,94.87,7.900,Y
RCP1883574,275.43,118.47,13.300,Y
RCP1883575,257.61,110.80,10.900,Y
RCP1883576,316.88,136.29,18.800,Y
RCP1883577,293.01,126.03,14.300,Y
RCP1883578,340.85,146.60,20.800,Y
RCP1883579,419.28,180.33,16.700,Y
RCP1883580,505.83,217.56,25.300,Y
RCP1883581,183.37,78.87,6.100,Y
RCP1883582,220.57,94.87,7.900,Y
RCP1883583,264.86,113.92,13.300,Y
RCP1883584,257.61,113.02,10.900,Y
RCP1883585,304.67,131.04,18.800,Y
RCP1883586,293.01,126.03,14.300,Y
RCP1883587,340.85,146.60,20.800,Y
RCP1883588,374.14,160.92,16.700,Y
RCP1883589,505.83,217.56,25.300,Y
RCP1883590,183.37,47.00,6.100,Y
RCP1883591,220.57,94.87,7.900,Y
RCP1883592,275.43,118.47,13.300,Y
RCP1883593,257.61,114.91,10.900,Y
RCP1883594,304.67,109.41,18.800,Y
RCP1883595,262.20,94.16,14.300,Y
RCP1883596,340.85,90.00,20.800,Y
RCP1883597,419.28,180.33,16.700,Y
RCP1883598,505.83,217.56,25.300,Y
RCP1883599,183.37,78.87,6.100,Y
RCP1883600,220.57,78.80,7.900,Y
RCP1883601,264.86,113.92,13.300,Y
RCP1883602,234.36,100.80,13.900,Y
RCP1883603,304.67,131.04,18.800,Y
RCP1883604,262.20,112.77,14.200,Y
RCP1883605,354.49,152.47,20.800,Y
RCP1883606,374.14,133.66,16.700,Y
RCP1883607,486.36,209.19,25.300,Y
RCP1883608,183.37,78.87,6.100,Y
RCP1883609,203.73,73.16,7.900,Y
RCP1883610,264.86,113.92,13.300,Y
RCP1883611,234.36,100.80,10.900,Y
RCP1883612,304.67,131.04,18.800,Y
RCP1883613,262.20,112.77,14.300,Y
RCP1883614,354.49,152.47,20.800,Y
RCP1883615,374.14,160.92,16.700,Y
RCP1883616,486.36,209.19,25.300,Y
RCP1883617,55.68,23.95,2.250,Y
RCP1883618,95.88,41.24,3.800,Y
RCP1883619,116.13,49.95,6.000,Y
RCP1883620,139.69,60.08,7.100,Y
RCP1883621,172.21,74.07,8.300,Y
RCP1883623,112.28,48.29,4.300,Y
RCP1883624,127.10,54.67,6.150,Y
RCP1883625,149.92,64.48,6.870,Y
RCP1883626,182.99,78.71,8.800,Y
RCP1883627,117.18,50.40,4.930,Y
RCP1883628,141.21,60.73,6.400,Y
RCP1883629,194.40,83.61,9.900,Y
RCP1887083,92.03,37.03,1.000,Y
RCP1887155,1946.28,886.65,1.000,Y
RCP1887157,947.39,407.48,120.000,N
RCP1887309,106.24,42.74,24.700,Y
RCP1887310,44.13,17.75,1.000,Y
RCP1887487,17.25,7.12,1.000,Y
RCP1887488,128.90,51.86,1.000,Y
RCP1889863,77.97,33.53,13.300,Y
RCP1889864,93.56,40.24,2.600,Y
RCP1900669,55.68,23.95,3.100,Y
RCP1900680,112.28,48.29,4.800,Y
RCP1900697,95.91,41.25,4.700,Y
RCP1900715,116.13,49.95,6.500,Y
RCP1900734,172.21,74.07,9.100,Y
RCP1900896,127.10,54.67,7.400,Y
RCP1900913,182.99,78.71,10.400,Y
RCP1901982,223.39,96.08,11.600,Y
RCP1901983,223.39,96.08,11.600,Y
RCP1901984,223.39,96.08,11.600,Y
RCP1901985,279.22,120.09,20.000,Y
RCP1901986,359.79,154.75,21.400,Y
RCP1901987,307.12,132.09,20.400,Y
RCP1901988,279.22,120.09,20.070,Y
RCP1901989,359.79,154.75,21.480,Y
RCP1901990,279.22,120.09,20.070,Y
RCP1901991,359.79,154.75,21.400,Y
RCP1901992,504.84,217.13,24.500,Y
RCP1901993,631.07,271.43,26.500,Y
RCP1901994,555.33,238.85,26.200,Y
RCP1901995,504.84,217.13,24.500,Y
RCP1901996,631.07,271.43,26.500,Y
RCP1901997,504.84,217.13,24.500,Y
RCP1901998,631.07,160.00,26.500,Y
RCP1901999,826.40,355.44,30.400,Y
RCP1901WHI,4.81,1.73,0.082,Y
RCP1902000,946.59,407.13,36.370,Y
RCP1902001,832.97,358.27,34.000,Y
RCP1902002,826.40,355.44,30.400,Y
RCP1902003,946.59,407.13,36.370,Y
RCP1902004,757.24,271.93,30.400,Y
RCP1902005,946.59,407.13,36.370,Y
RCP1902006,117.18,50.40,5.250,Y
RCP1902007,117.18,50.40,6.000,Y
RCP1902008,141.21,60.73,6.400,Y
RCP1902010,194.40,83.61,10.200,Y
RCP1902459CT,209.87,92.74,3.724,Y
RCP1902465,806.56,295.65,42.110,Y
RCP1902466,776.55,284.66,19.200,Y
RCP1902467,716.60,262.68,27.860,Y
RCP1902468CT,239.88,106.00,5.088,Y
RCP1902701,719.63,180.00,3.000,Y
RCP1902702,719.63,180.00,2.800,Y
RCP1902703,719.63,180.00,2.400,Y
RCP1903200,1273.42,547.71,7.200,Y
RCP1903286,957.84,423.26,7.200,Y
RCP1903287,972.69,429.82,7.200,Y
RCP1903289,1043.22,460.99,0.550,Y
RCP1903290,1076.67,475.77,10.000,Y
RCP1905WHI,8.49,3.04,0.228,Y
RCP1906WHI,11.13,3.98,0.258,Y
RCP1913WHICT,159.59,57.20,4.000,Y
RCP1919270,371.33,154.72,0.640,Y
RCP1924648,188.97,47.00,7.100,Y
RCP1924649,155.31,64.50,6.300,Y
RCP1924650,173.36,43.00,7.100,Y
RCP1924781,143.78,51.63,7.600,Y
RCP1924782,188.97,75.57,7.100,Y
RCP1924783,155.31,55.78,6.300,Y
RCP1924784,188.97,47.00,7.100,Y
RCP1924785,155.31,64.50,6.300,Y
RCP1924786,188.97,78.49,7.100,Y
RCP1924787,155.31,39.00,6.300,Y
RCP1924788,203.11,52.00,6.900,Y
RCP1924789,168.70,44.00,6.100,Y
RCP1924790,189.91,49.00,6.900,Y
RCP1924801,159.40,41.00,6.100,Y
RCP1924802,203.11,52.00,6.900,Y
RCP1924803,168.70,70.07,6.100,Y
RCP1924804,203.11,52.00,6.900,Y
RCP1924805,168.70,44.00,6.100,Y
RCP1924806,203.11,52.00,6.900,Y
RCP1924807,168.70,44.00,6.100,Y
RCP1924808,251.84,62.00,1.400,Y
RCP1924809,206.83,51.00,6.300,Y
RCP1924810,233.80,58.00,7.100,Y
RCP1924811,197.91,82.19,6.300,Y
RCP1924812,251.84,104.60,7.100,Y
RCP1924813,206.83,85.90,6.300,Y
RCP1924814,251.84,62.00,7.100,Y
RCP1924815,206.83,74.28,6.300,Y
RCP1924816,251.84,62.00,7.100,Y
RCP1924817,206.83,51.00,6.300,Y
RCP1926826,62.04,39.94,5.100,Y
RCP1926827,160.20,99.29,19.000,Y
RCP1926828,61.78,25.66,35.000,Y
RCP1926829,131.59,54.83,12.000,N
RCP1928023,307.05,121.58,6.800,Y
RCP1928024,374.17,110.00,10.000,Y
RCP1928756,76.75,27.57,2.830,Y
RCP1931021,47.72,32.68,14.870,Y
RCP1938WHI,12.22,4.37,1.000,Y
RCP1961506,2036.55,845.82,77.000,Y
RCP1961507,2757.30,1145.17,90.000,Y
RCP1961508,2757.30,1145.17,90.000,Y
RCP1961509,2757.30,1145.17,90.000,Y
RCP1961621,1721.60,697.89,70.000,Y
RCP1961622,1721.60,697.89,70.000,Y
RCP1961623,1721.60,697.89,70.000,Y
RCP1961627,1721.60,697.89,70.000,Y
RCP1961628,2036.55,845.82,77.000,Y
RCP1961629,2036.55,845.82,77.000,Y
RCP1961630,2036.55,845.82,77.000,Y
RCP1961683,2757.30,1145.17,60.000,Y
RCP1961690,2170.65,901.52,70.000,Y
RCP1961691,2170.65,901.52,70.000,Y
RCP1961692,2170.65,901.52,70.000,Y
RCP1961696,2170.65,901.52,70.000,Y
RCP1961697,2606.45,1082.52,77.000,Y
RCP1961710,3561.87,1479.32,45.000,Y
RCP1962RED,23.93,8.55,0.100,Y
RCP1963RED,31.06,11.10,0.222,Y
RCP1964RED,39.96,14.28,0.236,Y
RCP1966719,113.92,43.34,1.200,Y
RCP1966881,102.92,36.77,2.150,Y
RCP1966885,113.92,40.70,1.861,Y
RCP1966888,113.92,38.24,1.800,Y
RCP1966RED,23.93,8.55,1.000,Y
RCP1967RED,31.06,11.10,0.270,Y
RCP1968RED,39.96,14.28,1.000,Y
RCP1971257,99.72,35.62,6.000,Y
RCP1971258,99.72,35.62,8.000,Y
RCP1982724,87.05,47.65,4.900,Y
RCP1982724EA,21.76,8.33,0.800,Y
RCP1982726,35.28,12.61,1.726,Y
RCP199200GY,69.60,24.87,1.000,Y
RCP199300GY,110.86,39.60,2.250,Y
RCP1994YEL,37.82,13.52,3.000,Y
RCP1M19RED,79.20,29.66,1.000,Y
RCP1M20REDCT,79.20,29.66,2.000,Y
RCP2005CHA,12.22,4.37,0.413,Y
RCP201PAMB,30.53,10.92,1.000,Y
RCP2030BLK,262.97,93.96,9.000,Y
RCP2030BRN,262.97,93.96,9.000,Y
RCP2030EMG,262.97,93.96,9.000,Y
RCP205PAMB,42.97,15.35,0.551,Y
RCP206PAMB,53.14,18.99,1.670,Y
RCP208P23AMB,28.30,10.11,0.830,Y
RCP208P86AMB,28.30,10.11,2.000,Y
RCP211PAMB,57.08,20.38,0.750,Y
RCP212PAMB,73.48,26.24,0.966,Y
RCP214P86AMB,190.09,67.92,3.000,Y
RCP214PAMB,31.68,11.31,0.358,Y
RCP217PAMB,59.37,21.21,0.992,Y
RCP218PAMB,90.46,32.32,1.000,Y
RCP2212DIM,378.00,140.28,54.996,Y
RCP2213STE,8.28,5.49,1.750,Y
RCP2214STE,29.39,13.99,4.225,Y
RCP2214TPDIMCT,227.52,90.82,4.220,Y
RCP2215CPDIMCT,415.44,153.03,6.000,Y
RCP2215STE,35.77,17.03,4.600,Y
RCP221P23AMB,37.32,13.34,0.491,Y
RCP221P86AMBCT,223.95,80.01,3.100,Y
RCP2244STECT,558.90,228.69,67.000,Y
RCP2245CPDIMCT,448.47,254.70,72.100,Y
RCP224PAMB,77.50,27.69,1.000,Y
RCP225PAMB,102.92,36.76,1.000,Y
RCP228P23AMB,47.53,16.97,0.788,Y
RCP228P86AMB,47.53,16.97,1.000,Y
RCP230PAMB,675.18,241.27,13.000,Y
RCP231PAMB,143.65,51.32,1.000,Y
RCP232PAMB,205.25,73.34,3.704,Y
RCP234PAMB,101.87,36.39,1.000,Y
RCP2382WHICT,53.10,31.38,4.896,Y
RCP2432SQSUTPLS,2531.55,1054.81,108.000,N
RCP2438SQTRWMG,1777.98,1185.32,147.000,N
RCP2455WHI,37.92,13.55,2.000,Y
RCP2461DIMCT,329.58,121.39,9.000,Y
RCP25051,52.03,23.16,2.671,Y
RCP25051CT,312.17,129.72,16.000,Y
RCP252300BGE,185.26,66.19,6.000,Y
RCP252300BK,185.26,66.19,27.980,Y
RCP2523L1,8.98,3.42,0.080,Y
RCP253100BK,49.01,17.50,2.167,Y
RCP2531L4,3.39,1.71,0.020,Y
RCP253200BLA,66.83,23.88,2.167,Y
RCP2532L1BLA,18.83,16.19,0.380,Y
RCP2532L2,6.22,2.33,0.400,Y
RCP2533,96.53,34.49,1.000,Y
RCP2534,31.93,13.40,1.000,Y
RCP2534BLACT,191.58,65.82,3.000,Y
RCP2535CT,86.86,31.08,0.080,Y
RCP2536,14.14,5.05,9.200,Y
RCP2540BEI,43.46,15.53,1.600,Y
RCP254100BG,69.78,24.93,2.766,Y
RCP254100BK,69.78,24.93,2.844,Y
RCP2541GRA,69.78,24.93,2.900,Y
RCP254300BG,104.75,37.42,5.250,Y
RCP254300BK,104.75,37.42,5.300,Y
RCP2543GRA,104.75,37.42,5.000,Y
RCP254400BG,137.76,49.23,8.250,Y
RCP256B73BLU,464.08,165.80,16.625,N
RCP256BBRO,443.67,158.51,15.000,N
RCP256BCRE,443.67,158.51,1.000,N
RCP256KGRA,289.57,103.46,10.325,N
RCP256LBLU,545.73,194.97,14.230,N
RCP256TL1,32.17,27.67,1.000,Y
RCP256VBRO,436.26,155.86,12.000,Y
RCP256VRED,436.26,155.86,13.680,Y
RCP256WBLA,232.16,80.36,6.600,Y
RCP256XBRO,568.02,195.12,1.000,Y
RCP256XRED,568.02,235.91,0.000,Y
RCP257088BG,259.87,92.84,16.000,Y
RCP257088BLA,259.87,92.84,11.900,Y
RCP257088BRO,259.87,92.84,14.900,Y
RCP258500BLA,160.74,57.42,8.360,Y
RCP258600BLA,284.95,101.80,9.680,Y
RCP2588CHR,54.56,19.49,2.000,Y
RCP2609DGR,96.16,34.32,5.100,Y
RCP2609GRA,16.03,5.72,0.846,Y
RCP2609RED,96.16,34.32,5.200,Y
RCP2609WHI,16.03,5.72,0.860,Y
RCP2609YELCT,96.16,34.32,5.100,Y
RCP2610DGR,248.31,88.72,18.470,Y
RCP2610GRA,41.38,14.79,28.440,Y
RCP2610REDCT,248.31,88.72,18.399,Y
RCP2610WHI,41.38,14.79,2.740,Y
RCP2610YELCT,248.31,88.72,18.400,Y
RCP261400GY,36.43,13.01,1.769,Y
RCP2614GRAY,21.18,13.19,1.950,Y
RCP2614RED,36.43,13.01,2.000,Y
RCP2617GRA,56.79,20.30,3.000,Y
RCP261960BLACT,108.99,38.92,11.023,Y
RCP261960DGR,108.99,38.92,9.400,Y
RCP261960GRA,18.16,6.48,1.160,Y
RCP261960RED,108.99,38.92,8.220,Y
RCP261960WHI,18.16,6.48,1.400,Y
RCP261960YEL,18.16,6.48,1.165,Y
RCP2619YEL,12.15,7.74,1.000,Y
RCP262000GRA,61.32,24.73,5.790,Y
RCP262073BLU,64.26,22.96,6.000,Y
RCP2620BLU,64.26,22.96,5.863,Y
RCP2620DGRCT,385.58,137.75,34.921,Y
RCP2620GRAY,48.04,25.30,5.800,Y
RCP2620REDCT,385.58,137.75,35.298,Y
RCP2620WHI,64.26,22.96,5.900,Y
RCP2620YEL,64.26,22.96,5.900,Y
RCP2624WHI,568.02,202.93,20.980,Y
RCP262888GY,59.76,21.36,3.102,Y
RCP263100BE,26.78,9.57,27.730,Y
RCP263100GY,26.78,9.57,2.132,Y
RCP2631DGRCT,160.70,57.40,12.654,Y
