id,sku,cat1,cat2,cat3,cat4,cat5,cat6,cat7
2110,RCPD211BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2111,RCPD212BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2112,RCPD212WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2113,RCPD212GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2114,RCPD213RED,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2115,RCPD213BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2116,RCPD213GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2117,RCPD213WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2118,RCPD251GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2119,RCPD251BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2120,RCPD252BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2121,RCPD252GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2122,RCPD252WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2123,RCPD252RED,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2124,RCPD253BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2125,RCPD253GRE,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2126,RCPD253RED,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2127,RCPD253WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2128,RCPD413,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2129,RCPD552,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2130,RCPD553,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2131,RCPDCR24CSM,Default Category,Waste,Recycling Containers,,,,
2132,RCPDCR24PSM,Default Category,Waste,Recycling Containers,,,,
2133,RCPDCR24TSM,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2134,RCPDRR24TSM,Default Category,Waste,Indoor Waste Receptacles,Metal Receptacles,,,
2135,RCPE052,Default Category,Cleaning,Mops & Equipment,Finish Mops & Applicators,,,
2136,RCPE138,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2137,RCPE139,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2138,RCPE238,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2139,RCPE239,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2140,RCPE43812,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2141,RCPF11612,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2142,RCPF11712,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2143,RCPF11812,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2144,RCPF131SBL,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2145,RCPF136SBL,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2146,RCPF137SBL,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2147,RCPF158WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2148,RCPF167,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2149,RCPF168,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2150,RCPF216,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2151,RCPF217,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2152,RCPF218,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2153,RCPF416WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2154,RCPF417WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2155,RCPF41812,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2156,RCPF51612BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2157,RCPF51712BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2158,RCPF51812BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2159,RCPF558WHI,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2160,RCPF558BLU,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2161,RCPG04204,Default Category,Cleaning,Mops & Equipment,Mops,,,
2162,RCPG04300,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
2163,RCPG780,Default Category,Cleaning,Mops & Equipment,Mops,,,
2164,RCPG781,Default Category,Cleaning,Mops & Equipment,Mop Heads,,,
