Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1855RED,RUBBERMAID COMMERCIAL PROD.,313.82,12.000
RCP1856059CT,RUBBERMAID,26.10,2.000
RCP1857378,RUBBERMAID COMMERCIAL PROD.,17.85,1.100
RCP1857391,RUBBERMAID COMMERCIAL PROD.,17.85,1.100
RCP1857866,RUBBERMAID COMMERCIAL PROD.,70.89,7.500
RCP1861076CT,,216.32,8.600
RCP1861078CT,,281.42,8.600
RCP1861212CT,RUBBERMAID COMMERCIAL PROD.,392.46,30.000
RCP1861427,RUBBERMAID COMMERCIAL PROD.,1369.95,70.000
RCP1861428,,803.03,1.000
RCP1861429,RUBBERMAID COMMERCIAL PROD.,694.31,50.600
RCP1861430,,535.30,49.500
RCP1861441,,803.03,59.000
RCP1861442CT,,242.61,3.460
RCP1863882,RUBBERMAID COMMERCIAL PROD.,35.68,1.000
RCP1863883,RUBBERMAID COMMERCIAL PROD.,23.07,1.000
RCP1863884,RUBBERMAID COMMERCIAL PROD.,307.21,1.000
RCP1863885,RUBBERMAID COMMERCIAL PROD.,323.66,1.000
RCP1863886,RUBBERMAID COMMERCIAL PROD.,139.02,3.000
RCP1863887,RUBBERMAID COMMERCIAL PROD.,216.22,2.800
RCP1863888,RUBBERMAID COMMERCIAL PROD.,40.18,1.000
RCP1863889,RUBBERMAID COMMERCIAL PROD.,66.21,0.100
RCP1863890,RUBBERMAID COMMERCIAL PROD.,40.18,0.490
RCP1863891,RUBBERMAID COMMERCIAL PROD.,66.00,1.780
RCP1863892,RUBBERMAID COMMERCIAL PROD.,194.67,1.000
RCP1863893,RUBBERMAID COMMERCIAL PROD.,50.47,1.000
RCP1863894,RUBBERMAID COMMERCIAL PROD.,70.53,1.000
RCP1863895,RUBBERMAID COMMERCIAL PROD.,276.77,2.600
RCP1863896,RUBBERMAID COMMERCIAL PROD.,288.33,22.394
RCP1863897,RUBBERMAID COMMERCIAL PROD.,288.33,22.400
RCP1863898,RUBBERMAID COMMERCIAL PROD.,343.11,23.555
RCP1863899,RUBBERMAID COMMERCIAL PROD.,343.11,23.400
RCP1863900CT,,310.62,14.600
RCP1863903CT,RUBBERMAID COMMERCIAL PROD.,505.55,17.012
RCP1867396CT,RUBBERMAID COMMERCIAL PROD.,467.79,4.000
RCP1867397CT,RUBBERMAID COMMERCIAL PROD.,193.81,2.000
RCP1867398,RUBBERMAID COMMERCIAL PROD.,129.09,1.000
RCP1867505,RUBBERMAID COMMERCIAL PROD.,32.30,1.950
RCP1867506CT,RUBBERMAID COMMERCIAL PROD.,193.81,14.070
RCP1867507,RUBBERMAID COMMERCIAL PROD.,355.23,15.600
RCP1867508,RUBBERMAID COMMERCIAL PROD.,355.23,15.600
RCP1867509,RUBBERMAID COMMERCIAL PROD.,85.07,5.200
RCP1867510CT,RUBBERMAID COMMERCIAL PROD.,526.87,32.860
RCP1867531CT,RUBBERMAID COMMERCIAL PROD.,414.18,49.450
RCP1867531EA,RUBBERMAID COMMERCIAL PROD.,82.46,7.500
RCP1867532CT,,160.70,12.330
RCP1867533CT,RUBBERMAID COMMERCIAL PROD.,601.52,10.998
RCP1867534CT,,241.28,13.100
RCP1867537,,1231.57,51.000
RCP1867539,RUBBERMAID COMMERCIAL PROD.,1642.10,1.000
RCP1868991,RUBBERMAID COMMERCIAL PROD.,120.06,1.000
RCP1878364,RUBBERMAID COMMERCIAL PROD.,168.21,9.830
RCP1878366CT,,642.26,7.940
RCP1878367,RUBBERMAID COMMERCIAL PROD.,161.73,5.800
RCP1878368,RUBBERMAID COMMERCIAL PROD.,14.20,0.600
RCP1878370,RUBBERMAID COMMERCIAL PROD.,65.22,1.200
RCP1880994,RUBBERMAID COMMERCIAL PROD.,49.91,1.000
RCP1881749,RUBBERMAID COMMERCIAL PROD.,277.83,20.600
RCP1881750,RUBBERMAID COMMERCIAL PROD.,333.40,27.000
RCP1881781,RUBBERMAID COMMERCIAL PROD.,388.99,28.600
RCP1881782,RUBBERMAID COMMERCIAL PROD.,74.09,1.700
RCP1881783,RUBBERMAID COMMERCIAL PROD.,92.62,2.550
RCP1883456,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883457,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883458,RUBBERMAID COMMERCIAL PROD.,257.61,10.900
RCP1883459,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883460,RUBBERMAID COMMERCIAL PROD.,293.01,14.300
RCP1883551,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883552,RUBBERMAID COMMERCIAL PROD.,419.28,16.700
RCP1883553,RUBBERMAID COMMERCIAL PROD.,486.36,25.300
RCP1883554,RUBBERMAID COMMERCIAL PROD.,218.89,6.100
RCP1883555,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883556,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883557,RUBBERMAID COMMERCIAL PROD.,257.61,10.900
RCP1883558,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883559,RUBBERMAID COMMERCIAL PROD.,293.01,10.900
RCP1883560,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883561,RUBBERMAID COMMERCIAL PROD.,419.28,16.700
RCP1883562,RUBBERMAID COMMERCIAL PROD.,486.36,25.300
RCP1883563,RUBBERMAID COMMERCIAL PROD.,183.37,6.100
RCP1883564,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883565,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883566,RUBBERMAID COMMERCIAL PROD.,257.61,11.800
RCP1883567,RUBBERMAID COMMERCIAL PROD.,304.67,18.380
RCP1883568,RUBBERMAID COMMERCIAL PROD.,293.01,14.300
RCP1883569,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883571,RUBBERMAID COMMERCIAL PROD.,486.36,25.300
RCP1883573,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883574,RUBBERMAID COMMERCIAL PROD.,275.43,13.300
RCP1883575,RUBBERMAID COMMERCIAL PROD.,257.61,10.900
RCP1883576,RUBBERMAID COMMERCIAL PROD.,316.88,18.800
RCP1883577,RUBBERMAID COMMERCIAL PROD.,293.01,14.300
RCP1883578,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883579,RUBBERMAID COMMERCIAL PROD.,419.28,16.700
RCP1883580,RUBBERMAID COMMERCIAL PROD.,505.83,25.300
RCP1883581,RUBBERMAID COMMERCIAL PROD.,183.37,6.100
RCP1883582,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883583,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883584,RUBBERMAID COMMERCIAL PROD.,257.61,10.900
RCP1883585,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883586,RUBBERMAID COMMERCIAL PROD.,293.01,14.300
RCP1883587,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883588,RUBBERMAID COMMERCIAL PROD.,374.14,16.700
RCP1883589,RUBBERMAID COMMERCIAL PROD.,505.83,25.300
RCP1883590,RUBBERMAID COMMERCIAL PROD.,183.37,6.100
RCP1883591,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883592,RUBBERMAID COMMERCIAL PROD.,275.43,13.300
RCP1883593,RUBBERMAID COMMERCIAL PROD.,257.61,10.900
RCP1883594,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883595,RUBBERMAID COMMERCIAL PROD.,262.20,14.300
RCP1883596,RUBBERMAID COMMERCIAL PROD.,340.85,20.800
RCP1883597,RUBBERMAID COMMERCIAL PROD.,419.28,16.700
